"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,8.447313309E0,-4.174704552E0,-1.254232287E0,9.505701387E0
0.000000000E0,8.101714134E0,-4.377748489E0,-2.287569046E0,9.488699905E0
0.000000000E0,8.057568550E0,-4.552535534E0,-4.137337208E0,1.013743310E1
0.000000000E0,8.473672867E0,-5.081444740E0,-4.108855724E0,1.070079006E1
0.000000000E0,8.482477188E0,-4.687771797E0,-3.752787352E0,1.039283583E1
0.000000000E0,7.882235050E0,-4.577391624E0,-4.897931576E0,1.034755416E1
0.000000000E0,7.511571407E0,-4.267308712E0,-4.453459740E0,9.719410080E0
0.000000000E0,6.807285309E0,-4.412490845E0,-4.995532513E0,9.527043288E0
0.000000000E0,6.821828842E0,-4.114480019E0,-4.861862183E0,9.332952291E0
0.000000000E0,7.221062183E0,-3.727247000E0,-4.211996555E0,9.152978981E0
0.000000000E0,7.006024361E0,-3.576342583E0,-5.184247494E0,9.420776278E0
0.000000000E0,6.825613499E0,-3.420604467E0,-5.978198528E0,9.696823820E0
0.000000000E0,6.770958424E0,-3.448132753E0,-5.752075672E0,9.530050997E0
0.000000000E0,6.940162659E0,-3.568995953E0,-6.401895523E0,1.009395146E1
0.000000000E0,6.849057198E0,-3.395535231E0,-6.548627377E0,1.006597062E1
0.000000000E0,6.554675579E0,-3.329020262E0,-6.361851215E0,9.722103617E0
0.000000000E0,6.662089348E0,-3.304513693E0,-6.366337776E0,9.789458714E0
0.000000000E0,6.742270470E0,-3.234528065E0,-6.151255131E0,9.682888132E0
0.000000000E0,6.721396923E0,-3.318566561E0,-6.364035130E0,9.833158381E0
0.000000000E0,6.759222984E0,-3.422425747E0,-6.136134148E0,9.749473607E0
0.000000000E0,6.963898182E0,-3.401570320E0,-4.854228973E0,9.144949287E0
0.000000000E0,7.482934475E0,-3.443133354E0,-4.093879223E0,9.198332607E0
0.000000000E0,8.581925392E0,-3.765630484E0,-3.843391180E0,1.012921873E1
0.000000000E0,9.473090172E0,-4.023908615E0,-5.076012611E0,1.147593926E1
2.409485900E-2,9.253933907E0,-3.247906685E0,-3.936543465E0,1.056790258E1
2.649902600E-2,9.263509750E0,-3.207206726E0,-4.310023308E0,1.070864552E1
2.890371300E-2,9.220416069E0,-3.200024605E0,-4.721807957E0,1.084212619E1
3.130798400E-2,9.162958145E0,-3.161719084E0,-5.078528404E0,1.094293015E1
3.371204700E-2,9.098317146E0,-3.135383844E0,-5.346667767E0,1.100894468E1
3.611663000E-2,9.048040390E0,-3.142565966E0,-5.487919807E0,1.103902258E1
3.852147400E-2,9.055222511E0,-3.147354364E0,-5.473555088E0,1.103914397E1
4.092668200E-2,9.060011864E0,-3.149748564E0,-5.332303047E0,1.097443332E1
4.333126600E-2,9.103104591E0,-3.156930923E0,-5.167109966E0,1.093305774E1
4.573538000E-2,9.179717064E0,-3.195236206E0,-4.922912121E0,1.089549464E1
4.814032800E-2,9.265903473E0,-3.200024605E0,-4.700261116E0,1.087150308E1
5.054506800E-2,9.344908714E0,-3.240724325E0,-4.410574913E0,1.082971764E1
5.294944300E-2,9.361667633E0,-3.259876966E0,-4.168771267E0,1.075389569E1
5.535428600E-2,9.380820274E0,-3.298182487E0,-3.864720345E0,1.066835789E1
5.775913000E-2,9.390397072E0,-3.348458529E0,-3.563064098E0,1.058712225E1
6.016428600E-2,9.373639107E0,-3.353246927E0,-3.242254734E0,1.047003299E1
6.256913000E-2,9.261116028E0,-3.401128769E0,-2.890322208E0,1.028055978E1
6.497360900E-2,9.146198273E0,-3.415493250E0,-2.555148602E0,1.009194339E1
6.737902600E-2,9.083952904E0,-3.429857969E0,-2.121816635E0,9.939025701E0
6.978366100E-2,9.048040390E0,-3.420281649E0,-1.726790428E0,9.825841778E0
7.218767200E-2,9.026494026E0,-3.389158249E0,-1.286276102E0,9.727203825E0
7.459235900E-2,9.038464546E0,-3.386764288E0,-7.906977534E-1,9.684483292E0
7.699689100E-2,9.031281471E0,-3.372399569E0,-3.406071663E-1,9.646405398E0
7.940189100E-2,8.990582466E0,-3.348458529E0,5.441913009E-2,9.594045499E0
8.180631800E-2,8.949882507E0,-3.334094048E0,3.369227648E-1,9.556678134E0
8.421032800E-2,8.933123589E0,-3.291000366E0,5.883031487E-1,9.538211628E0
8.661522400E-2,8.930729866E0,-3.235936165E0,7.918015718E-1,9.531850216E0
8.901965100E-2,8.930729866E0,-3.166507006E0,1.007270336E0,9.528866464E0
9.142397400E-2,8.947488785E0,-3.089895964E0,1.143733978E0,9.534838228E0
9.382860900E-2,8.954670906E0,-3.018073082E0,1.237103820E0,9.530232003E0
9.623308800E-2,8.957064629E0,-2.967797041E0,1.311321020E0,9.526614764E0
9.863788000E-2,9.000158310E0,-2.915126801E0,1.320897341E0,9.552255422E0
1.010423070E-1,9.057616234E0,-2.843303919E0,1.299350500E0,9.581915296E0
1.034463700E-1,9.110287666E0,-2.795421839E0,1.246680260E0,9.610719863E0
1.058512130E-1,9.174927711E0,-2.745145798E0,1.146128178E0,9.645140422E0
1.082557450E-1,9.227597237E0,-2.709234238E0,1.050364256E0,9.674283745E0
1.106596510E-1,9.273085594E0,-2.694869518E0,9.067182541E-1,9.699204924E0
1.130640260E-1,9.342514992E0,-2.687687397E0,7.558900714E-1,9.750775339E0
1.154687130E-1,9.395184517E0,-2.682899237E0,5.715444088E-1,9.787446216E0
1.178734530E-1,9.416731834E0,-2.694869518E0,3.895929456E-1,9.802496765E0
1.202773590E-1,9.414338112E0,-2.716416597E0,2.172178328E-1,9.800809395E0
1.226810050E-1,9.404761314E0,-2.730781078E0,6.160141528E-2,9.793390394E0
1.250855880E-1,9.373639107E0,-2.778663158E0,-4.613302648E-2,9.776922180E0
1.274897550E-1,9.330544472E0,-2.828939438E0,-1.203500926E-1,9.750714980E0
1.298938180E-1,9.263509750E0,-2.855274439E0,-1.825966537E-1,9.695284759E0
1.322980360E-1,9.239568710E0,-2.900762081E0,-2.256904393E-1,9.686846070E0
1.347019430E-1,9.222809792E0,-2.943856001E0,-1.897789538E-1,9.683105114E0
1.371063180E-1,9.208445549E0,-2.982161522E0,-1.011973023E-1,9.679824258E0
1.395103280E-1,9.182110786E0,-3.015678883E0,2.090173960E-2,9.664673533E0
1.419140780E-1,9.167745590E0,-3.061166763E0,1.525771767E-1,9.666518554E0
1.443186090E-1,9.141410828E0,-3.085107803E0,3.153758645E-1,9.653120947E0
1.467227760E-1,9.117469788E0,-3.123413324E0,4.997215271E-1,9.650579658E0
1.491263700E-1,9.110287666E0,-3.173689365E0,6.912493706E-1,9.671994171E0
1.515303800E-1,9.067193985E0,-3.204812765E0,8.109543324E-1,9.651035103E0
1.539345990E-1,9.045646667E0,-3.221571207E0,9.330533743E-1,9.647426251E0
1.563390780E-1,8.985795021E0,-3.209600925E0,1.047970176E0,9.599181827E0
1.587431410E-1,8.904395103E0,-3.226359606E0,1.174857378E0,9.543476218E0
1.611467860E-1,8.815813065E0,-3.207206726E0,1.241892099E0,9.462929301E0
1.635510570E-1,8.724837303E0,-3.185659885E0,1.359202981E0,9.387153329E0
1.659549630E-1,8.636255264E0,-3.154536486E0,1.428631783E0,9.304675932E0
1.683586090E-1,8.552462578E0,-3.135383844E0,1.488484263E0,9.229888049E0
1.707627240E-1,8.497397423E0,-3.089895964E0,1.517213464E0,9.168159942E0
1.731665780E-1,8.444727898E0,-3.073137283E0,1.514819384E0,9.113302354E0
1.755708490E-1,8.399239540E0,-3.013284922E0,1.519607544E0,9.051868203E0
1.779749630E-1,8.368116379E0,-2.986949921E0,1.550730824E0,9.019534780E0
1.803787660E-1,8.351357460E0,-2.963008881E0,1.524395704E0,8.991572461E0
1.827832970E-1,8.346570015E0,-2.931885481E0,1.498060584E0,8.972478420E0
1.851876200E-1,8.339387894E0,-2.907944679E0,1.476513743E0,8.954419330E0
1.875915260E-1,8.320234299E0,-2.893579721E0,1.445390463E0,8.926827879E0
1.899955360E-1,8.305870056E0,-2.874427080E0,1.416661263E0,8.902625318E0
1.923993380E-1,8.293899536E0,-2.867244720E0,1.363991141E0,8.880897119E0
1.948038180E-1,8.279534340E0,-2.876821280E0,1.249074340E0,8.853641978E0
1.972084530E-1,8.241230011E0,-2.876821280E0,1.201192379E0,8.811176760E0
1.996129320E-1,8.226864815E0,-2.910338640E0,1.150916338E0,8.802044314E0
2.020178800E-1,8.190953255E0,-2.927097321E0,1.126975417E0,8.770957048E0
2.044223590E-1,8.164618492E0,-2.960614681E0,1.150916338E0,8.760755837E0
2.068266300E-1,8.150253296E0,-2.982161522E0,1.189221859E0,8.759803922E0
2.092313180E-1,8.162223816E0,-3.008496523E0,1.203586459E0,8.781888710E0
2.116357970E-1,8.178982735E0,-3.025255442E0,1.277803659E0,8.813666164E0
2.140407970E-1,8.212500572E0,-3.049196243E0,1.349626541E0,8.863647961E0
