"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.213527610E-1,1.258713007E-1,-2.378776670E-1,5.477485061E-1,6.102932039E-1
1.237969280E-1,1.173191816E-1,-2.427645773E-1,5.367529392E-1,6.006680848E-1
1.262419280E-1,1.277038902E-1,-2.397102565E-1,5.288116932E-1,5.944838917E-1
1.286876570E-1,1.167083159E-1,-2.507058382E-1,5.196487308E-1,5.886501947E-1
1.311326570E-1,1.258713007E-1,-2.488732338E-1,5.129292011E-1,5.838474426E-1
1.335768240E-1,1.191517785E-1,-2.586470842E-1,5.049880147E-1,5.797485278E-1
1.360217720E-1,1.228169575E-1,-2.610905468E-1,4.994901717E-1,5.768385479E-1
1.384675530E-1,1.197626442E-1,-2.708643675E-1,4.952141345E-1,5.770161484E-1
1.409125010E-1,1.130431294E-1,-2.769730091E-1,4.891054630E-1,5.733384261E-1
1.433566670E-1,1.154865921E-1,-2.824707925E-1,4.860511422E-1,5.739099358E-1
1.458016150E-1,1.014367044E-1,-2.934663594E-1,4.811642468E-1,5.726525487E-1
1.482473970E-1,1.063236222E-1,-2.983532846E-1,4.787207842E-1,5.740147945E-1
1.506923450E-1,8.738680929E-2,-3.148466349E-1,4.738338590E-1,5.755722229E-1
1.531365110E-1,8.983027190E-2,-3.191227019E-1,4.707795382E-1,5.757969696E-1
1.555814590E-1,7.394778728E-2,-3.356160223E-1,4.652817547E-1,5.784405769E-1
1.580272400E-1,6.845000386E-2,-3.441681564E-1,4.591731131E-1,5.779074932E-1
1.604721880E-1,5.501098186E-2,-3.600506186E-1,4.542861879E-1,5.822702093E-1
1.629163550E-1,4.279368743E-2,-3.747113645E-1,4.475666881E-1,5.852827066E-1
1.653613550E-1,3.729590774E-2,-3.887612820E-1,4.390145838E-1,5.875883967E-1
1.678070840E-1,1.652650535E-2,-4.064763486E-1,4.286298752E-1,5.909481511E-1
1.702520840E-1,1.774823293E-2,-4.156393111E-1,4.194668829E-1,5.907821109E-1
1.726962510E-1,-4.853759892E-3,-4.351869822E-1,4.066387415E-1,5.956226444E-1
1.751411990E-1,-5.464624614E-3,-4.376304448E-1,3.968648911E-1,5.908062373E-1
1.775869800E-1,-2.317970246E-2,-4.510694742E-1,3.822041452E-1,5.916764131E-1
1.800319280E-1,-2.623402700E-2,-4.510694742E-1,3.675433993E-1,5.824431690E-1
1.824760950E-1,-3.539699689E-2,-4.583998322E-1,3.541043699E-1,5.803216852E-1
1.849210420E-1,-4.333823919E-2,-4.559563994E-1,3.370001614E-1,5.686330539E-1
1.873668240E-1,-4.089477658E-2,-4.529020488E-1,3.241719902E-1,5.584622886E-1
1.898117720E-1,-5.250120908E-2,-4.492368698E-1,3.052352071E-1,5.456543538E-1
1.922559380E-1,-4.394910112E-2,-4.345761240E-1,2.911853194E-1,5.249541135E-1
1.947008860E-1,-5.555552989E-2,-4.290783405E-1,2.734702229E-1,5.118404068E-1
1.971466670E-1,-4.578169435E-2,-4.058654904E-1,2.594203353E-1,4.838612097E-1
1.995916150E-1,-5.005775020E-2,-3.936481774E-1,2.435378730E-1,4.655914105E-1
2.020357820E-1,-4.272737354E-2,-3.667701483E-1,2.300988436E-1,4.350763702E-1
2.044807820E-1,-4.333823919E-2,-3.478333354E-1,2.166598290E-1,4.120773152E-1
2.069265110E-1,-4.028391466E-2,-3.221770227E-1,2.026099414E-1,3.827161038E-1
2.093715110E-1,-2.867748588E-2,-2.977424264E-1,1.922252327E-1,3.555608116E-1
2.118156780E-1,-3.478613123E-2,-2.739186883E-1,1.806188077E-1,3.299464751E-1
2.142606260E-1,-2.012537792E-2,-2.427645773E-1,1.720667034E-1,2.982392014E-1
2.167063550E-1,-2.867748588E-2,-2.250495106E-1,1.616819948E-1,2.785870562E-1
2.191513550E-1,-1.401673071E-2,-1.932845414E-1,1.549624950E-1,2.481305252E-1
2.215955220E-1,-1.951451227E-2,-1.792346537E-1,1.482429802E-1,2.334134925E-1
2.240404700E-1,-1.157327183E-2,-1.511348784E-1,1.427451968E-1,2.082111508E-1
2.264862510E-1,-1.279500127E-2,-1.352523863E-1,1.366365403E-1,1.926822883E-1
2.289311990E-1,-1.340586599E-2,-1.157047153E-1,1.329713613E-1,1.767729654E-1
2.313753650E-1,-5.464624614E-3,-1.028765589E-1,1.305278838E-1,1.662858290E-1
2.338203130E-1,-1.584932581E-2,-9.127013385E-2,1.244192421E-1,1.551179754E-1
2.362660950E-1,-3.632030450E-3,-7.783110440E-2,1.225866526E-1,1.452527448E-1
2.387110420E-1,-1.768191904E-2,-7.355505228E-2,1.201431900E-1,1.419766956E-1
2.411552090E-1,-1.096240710E-2,-6.011603400E-2,1.183106005E-1,1.331597165E-1
2.436002090E-1,-2.623402700E-2,-6.439208239E-2,1.134236753E-1,1.330394474E-1
2.460459380E-1,-2.684488893E-2,-5.706170946E-2,1.097584814E-1,1.265844026E-1
2.484908860E-1,-3.661872447E-2,-6.500294805E-2,1.060933024E-1,1.297000503E-1
2.509351050E-1,-4.761429131E-2,-6.927900016E-2,9.937378764E-2,1.301608631E-1
2.533800530E-1,-5.189034343E-2,-8.027456701E-2,9.326514602E-2,1.335477492E-1
2.558257820E-1,-7.510320097E-2,-9.615704417E-2,8.532389998E-2,1.488853111E-1
2.582707820E-1,-7.632493228E-2,-1.077634841E-1,7.555006444E-2,1.521390023E-1
2.607149490E-1,-1.019812524E-1,-1.315872073E-1,6.211104244E-2,1.776883524E-1
2.631598970E-1,-1.056464389E-1,-1.444153637E-1,5.233720690E-2,1.864300151E-1
2.656056780E-1,-1.313027442E-1,-1.682390869E-1,3.828731924E-2,2.168195558E-1
2.680506260E-1,-1.380222589E-1,-1.822889745E-1,2.423742972E-2,2.299279608E-1
2.704947920E-1,-1.557373405E-1,-2.030583769E-1,8.354946971E-3,2.560402874E-1
2.729397400E-1,-1.716198176E-1,-2.134430856E-1,-6.916671991E-3,2.739692554E-1
2.753855220E-1,-1.795610636E-1,-2.250495106E-1,-2.157742530E-2,2.887127345E-1
2.778304700E-1,-2.015521973E-1,-2.348233461E-1,-3.868163377E-2,3.118678581E-1
2.802746360E-1,-2.021630555E-1,-2.329907566E-1,-5.150979385E-2,3.127424700E-1
2.827196360E-1,-2.253759205E-1,-2.415428609E-1,-6.678141654E-2,3.370415654E-1
2.851653650E-1,-2.210998684E-1,-2.348233461E-1,-7.777698338E-2,3.317776588E-1
2.876103650E-1,-2.394258082E-1,-2.360450774E-1,-9.060513973E-2,3.482115558E-1
2.900544800E-1,-2.375932187E-1,-2.213843167E-1,-1.022115648E-1,3.404537519E-1
2.924994800E-1,-2.461453229E-1,-2.152756751E-1,-1.101528108E-1,3.450576445E-1
2.949452090E-1,-2.516431212E-1,-2.000040561E-1,-1.199266464E-1,3.430864081E-1
2.973902090E-1,-2.479779124E-1,-1.847324371E-1,-1.242026985E-1,3.332347951E-1
2.998343760E-1,-2.583626211E-1,-1.670173556E-1,-1.315330714E-1,3.345848022E-1
3.022793240E-1,-2.485887855E-1,-1.438044906E-1,-1.345873922E-1,3.171590799E-1
3.047251050E-1,-2.601952255E-1,-1.279220134E-1,-1.388634443E-1,3.214788532E-1
3.071700530E-1,-2.498105019E-1,-1.004330963E-1,-1.388634443E-1,3.029441366E-1
3.096142200E-1,-2.577517629E-1,-8.699408174E-2,-1.431394964E-1,3.073969046E-1
3.120591670E-1,-2.473670393E-1,-6.011603400E-2,-1.413069069E-1,2.911563697E-1
3.145049490E-1,-2.498105019E-1,-4.362268373E-2,-1.400851756E-1,2.897103413E-1
3.169498970E-1,-2.473670393E-1,-2.224241756E-2,-1.394743025E-1,2.848477810E-1
3.193940630E-1,-2.388149351E-1,-2.694746945E-3,-1.382525712E-1,2.759594324E-1
3.218390630E-1,-2.449235916E-1,1.502032764E-2,-1.370308548E-1,2.810527195E-1
3.242847920E-1,-2.314845622E-1,3.640059382E-2,-1.333656609E-1,2.696228945E-1
3.267297400E-1,-2.412583977E-1,5.167221278E-2,-1.321439296E-1,2.798886389E-1
3.291739070E-1,-2.284302413E-1,7.488507032E-2,-1.315330714E-1,2.740239000E-1
3.316189070E-1,-2.375932187E-1,8.404804766E-2,-1.303113401E-1,2.837175660E-1
3.340646360E-1,-2.296519727E-1,1.035957187E-1,-1.284787357E-1,2.828053872E-1
3.365096360E-1,-2.333171517E-1,1.090935022E-1,-1.278678775E-1,2.875560460E-1
3.389538030E-1,-2.351497561E-1,1.200890541E-1,-1.284787357E-1,2.936385094E-1
3.413987510E-1,-2.327062935E-1,1.274194419E-1,-1.278678775E-1,2.945133737E-1
3.438445320E-1,-2.412583977E-1,1.310846210E-1,-1.284787357E-1,3.031428340E-1
3.462894800E-1,-2.327062935E-1,1.390258670E-1,-1.266461462E-1,2.991983574E-1
3.487336470E-1,-2.516431212E-1,1.390258670E-1,-1.284787357E-1,3.148955981E-1
3.511785950E-1,-2.437018603E-1,1.487997025E-1,-1.278678775E-1,3.128612189E-1
3.536243760E-1,-2.608060837E-1,1.469671130E-1,-1.272570193E-1,3.252898624E-1
3.560693240E-1,-2.595843673E-1,1.561300755E-1,-1.254244149E-1,3.278596164E-1
3.585134900E-1,-2.705799341E-1,1.524648964E-1,-1.223700941E-1,3.338165444E-1
3.609584900E-1,-2.772994339E-1,1.573518068E-1,-1.199266464E-1,3.406419934E-1
3.634042200E-1,-2.803537548E-1,1.604061276E-1,-1.144288629E-1,3.426694008E-1
3.658491670E-1,-2.968471050E-1,1.604061276E-1,-1.101528108E-1,3.549393910E-1
3.682933860E-1,-2.937927842E-1,1.634604484E-1,-1.028224379E-1,3.515764099E-1
3.707383340E-1,-3.127295971E-1,1.567409486E-1,-9.610292315E-2,3.627716881E-1
3.731840630E-1,-3.090643883E-1,1.591843963E-1,-8.816167712E-2,3.586543593E-1
3.756290630E-1,-3.273903430E-1,1.481888443E-1,-8.022044599E-2,3.682114748E-1
3.780732300E-1,-3.267794847E-1,1.475779712E-1,-7.289005816E-2,3.658921287E-1
3.805181780E-1,-3.377750516E-1,1.365824044E-1,-6.372709572E-2,3.698754944E-1
