"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
3.399704100E-2,3.213819504E1,2.456541061E1,6.246486664E0,4.093093664E1
4.399704100E-2,3.213650894E1,2.704820251E1,4.670047760E0,4.226310226E1
5.399704100E-2,3.506080627E1,2.606069565E1,4.754222870E0,4.394340257E1
6.399704100E-2,3.521586990E1,2.416524506E1,6.018146515E0,4.313159688E1
7.399704100E-2,3.152279663E1,2.484626007E1,5.918399811E0,4.057155165E1
8.399704100E-2,2.998719406E1,2.493093872E1,3.248226166E0,3.913226912E1
9.399704100E-2,3.167818832E1,2.670932007E1,2.186344147E0,4.149307767E1
1.039970410E-1,3.213887405E1,2.556948090E1,4.377704620E0,4.130217762E1
1.139970410E-1,3.306253052E1,2.586440659E1,3.468673706E0,4.212042438E1
1.239970410E-1,3.213908386E1,2.629030991E1,3.286010742E0,4.165211847E1
1.339970410E-1,3.044453812E1,2.586177826E1,5.879817963E0,4.037664839E1
1.439970410E-1,3.090633392E1,2.615433502E1,5.268859863E0,4.082905340E1
1.539970410E-1,3.152058411E1,2.646775436E1,5.899566650E0,4.157997270E1
1.639970410E-1,3.336346436E1,2.755080032E1,7.480506897E0,4.391042400E1
1.739970410E-1,3.336346436E1,2.755080032E1,7.480506897E0,4.391042400E1
1.839970410E-1,3.013290787E1,2.750177383E1,7.400718689E0,4.146215549E1
1.939970410E-1,3.013290787E1,2.750177383E1,7.400718689E0,4.146215549E1
2.039970410E-1,2.967072296E1,2.649069595E1,9.258102417E0,4.083896710E1
2.139970410E-1,3.059498215E1,2.634340286E1,8.354213715E0,4.122888179E1
2.239970410E-1,3.105391693E1,2.710829926E1,9.749652863E0,4.235872255E1
2.339970410E-1,2.905205536E1,2.753870392E1,1.093299103E1,4.149617364E1
2.439970410E-1,2.951298141E1,2.784284592E1,1.109569550E1,4.206369693E1
2.539970410E-1,3.089836884E1,2.698403168E1,1.144963074E1,4.259038866E1
2.639970410E-1,2.935966110E1,2.696531677E1,1.172110367E1,4.155120070E1
2.739970410E-1,2.936000824E1,2.696068573E1,1.141163635E1,4.146220090E1
2.839970410E-1,3.136137772E1,2.639213562E1,1.084894180E1,4.240024025E1
2.939970410E-1,2.967178345E1,2.546347046E1,9.579555511E0,4.025631559E1
3.039970410E-1,2.951621246E1,2.635253906E1,1.002968216E1,4.081981917E1
